NCRAS_Draw	Stage	Months	OS	CSS	Age
Thyroid	Unknown/missing	18	0	0.5632028579711914	80-84 years
Thyroid	Unknown/missing	21	0	0.5559322738647461	80-84 years
Thyroid	Unknown/missing	24	0	0.5648800277709961	80-84 years
Thyroid	Unknown/missing	27	0	0.5469062423706055	80-84 years
Thyroid	Unknown/missing	30	0	0.5453572082519531	80-84 years
Thyroid	Unknown/missing	33	0	0.5547795867919922	80-84 years
Thyroid	Unknown/missing	36	0	0.5642203521728516	80-84 years
Thyroid	Unknown/missing	39	0	0.57518310546875	80-84 years
Thyroid	Unknown/missing	42	0	0.5863993072509766	80-84 years
Thyroid	Unknown/missing	45	0	0.5673712539672852	80-84 years
Thyroid	Unknown/missing	48	0	0.5430344772338868	80-84 years
Thyroid	Unknown/missing	51	0	0.5547146606445312	80-84 years
Thyroid	Unknown/missing	54	0	0.5255322265625	80-84 years
Thyroid	Unknown/missing	57	0	0.5367798233032226	80-84 years
Thyroid	Unknown/missing	60	0	0.5483000183105469	80-84 years
Stomach	I	0.9959999620914459	0	0.9936249542236328	80-84 years
Stomach	I	2.003999948501587	0	0.9748861694335937	80-84 years
Stomach	I	3	0	0.9483489227294922	80-84 years
Stomach	I	3.996000051498413	0	0.9411656188964844	80-84 years
Stomach	I	5.003999948501587	0	0.9260987854003906	80-84 years
Stomach	I	6	0	0.9028324127197266	80-84 years
Stomach	I	9	0	0.8315312194824219	80-84 years
Stomach	I	12	0	0.7909568786621094	80-84 years
Stomach	I	15	0	0.7571720886230469	80-84 years
Stomach	I	18	0	0.7252297210693359	80-84 years
Stomach	I	21	0	0.7037483215332031	80-84 years
Stomach	I	24	0	0.6620191955566406	80-84 years
Stomach	I	27	0	0.6324934387207031	80-84 years
Stomach	I	30	0	0.6241817474365234	80-84 years
Stomach	I	33	0	0.6020394515991211	80-84 years
Stomach	I	36	0	0.5922107696533203	80-84 years
Stomach	I	39	0	0.5723994445800781	80-84 years
Stomach	I	42	0	0.5529258346557617	80-84 years
Stomach	I	45	0	0.5465171813964844	80-84 years
Stomach	I	48	0	0.5464689254760742	80-84 years
Stomach	I	51	0	0.5443696975708008	80-84 years
Stomach	I	54	0	0.48272430419921875	80-84 years
Stomach	I	57	0	0.49499950408935545	80-84 years
Stomach	I	60	0	0.447156982421875	80-84 years
Stomach	II	0.9959999620914459	0	0.9620558166503906	80-84 years
Stomach	II	2.003999948501587	0	0.9266079711914063	80-84 years
Stomach	II	3	0	0.869337158203125	80-84 years
Stomach	II	3.996000051498413	0	0.8193636322021485	80-84 years
Stomach	II	5.003999948501587	0	0.7861566925048828	80-84 years
Stomach	II	6	0	0.7684632873535157	80-84 years
Stomach	II	9	0	0.6666384887695312	80-84 years
Stomach	II	12	0	0.6167947769165039	80-84 years
Stomach	II	15	0	0.5382452774047851	80-84 years
Stomach	II	18	0	0.4704397583007813	80-84 years
Stomach	II	21	0	0.42740707397460936	80-84 years
Stomach	II	24	0	0.39023422241210937	80-84 years
Stomach	II	27	0	0.36888656616210935	80-84 years
Stomach	II	30	0	0.36110862731933596	80-84 years
Stomach	II	33	0	0.34084991455078123	80-84 years
Stomach	II	36	0	0.33357585906982423	80-84 years
Stomach	II	39	0	0.3252767181396484	80-84 years
Stomach	II	42	0	0.3106500434875488	80-84 years
Stomach	II	45	0	0.3124628448486328	80-84 years
Stomach	II	48	0	0.3072724723815918	80-84 years
Stomach	II	51	0	0.307039794921875	80-84 years
Stomach	II	54	0	0.30546140670776367	80-84 years
Stomach	II	57	0	0.30221736907958985	80-84 years
Stomach	II	60	0	0.28495853424072265	80-84 years
