Age	NCRAS_Draw	Stage	Months	CSS
97	Urothelial Tract	II	60	0.656706314086914
98	Urothelial Tract	II	60	0.656706314086914
99	Urothelial Tract	II	60	0.656706314086914
100	Urothelial Tract	II	60	0.656706314086914
0	Urothelial Tract	III	60	0.8392829895019531
1	Urothelial Tract	III	60	0.8392829895019531
2	Urothelial Tract	III	60	0.8392829895019531
3	Urothelial Tract	III	60	0.8392829895019531
4	Urothelial Tract	III	60	0.8392829895019531
5	Urothelial Tract	III	60	0.8392829895019531
6	Urothelial Tract	III	60	0.8392829895019531
7	Urothelial Tract	III	60	0.8392829895019531
8	Urothelial Tract	III	60	0.8392829895019531
9	Urothelial Tract	III	60	0.8392829895019531
10	Urothelial Tract	III	60	0.8392829895019531
11	Urothelial Tract	III	60	0.8392829895019531
12	Urothelial Tract	III	60	0.8392829895019531
13	Urothelial Tract	III	60	0.8392829895019531
14	Urothelial Tract	III	60	0.8392829895019531
15	Urothelial Tract	III	60	0.8392829895019531
16	Urothelial Tract	III	60	0.8392829895019531
17	Urothelial Tract	III	60	0.8392829895019531
18	Urothelial Tract	III	60	0.8392829895019531
19	Urothelial Tract	III	60	0.8392829895019531
20	Urothelial Tract	III	60	0.8392829895019531
21	Urothelial Tract	III	60	0.8392829895019531
22	Urothelial Tract	III	60	0.8392829895019531
23	Urothelial Tract	III	60	0.8392829895019531
24	Urothelial Tract	III	60	0.8392829895019531
25	Urothelial Tract	III	60	0.8392829895019531
26	Urothelial Tract	III	60	0.8392829895019531
27	Urothelial Tract	III	60	0.8392829895019531
28	Urothelial Tract	III	60	0.8392829895019531
29	Urothelial Tract	III	60	0.8392829895019531
30	Urothelial Tract	III	60	0.8392829895019531
31	Urothelial Tract	III	60	0.8392829895019531
32	Urothelial Tract	III	60	0.8392829895019531
33	Urothelial Tract	III	60	0.8392829895019531
34	Urothelial Tract	III	60	0.8392829895019531
35	Urothelial Tract	III	60	0.8392829895019531
36	Urothelial Tract	III	60	0.8115369008382162
37	Urothelial Tract	III	60	0.7837908121744792
38	Urothelial Tract	III	60	0.7560447235107421
39	Urothelial Tract	III	60	0.7282986348470052
40	Urothelial Tract	III	60	0.7005525461832682
41	Urothelial Tract	III	60	0.6728064575195313
42	Urothelial Tract	III	60	0.6450603688557943
43	Urothelial Tract	III	60	0.6311873245239258
44	Urothelial Tract	III	60	0.6311873245239258
