Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male,Bladder,IV,65-69,2,positive,rmst,32.5,1.23 (1.11 to 1.33),1.23,1.11 to 1.33,1.11,1.33,(1.11 to 1.33)
Male,Bladder,IV,70-74,1,negative,rmst,27.5,1.02 (1.01 to 1.29),1.02,1.01 to 1.29,1.01,1.29,(1.01 to 1.29)
Male,Bladder,IV,70-74,2,negative,rmst,27.5,1.05 (0.99 to 1.13),1.05,0.99 to 1.13,0.99,1.13,(0.99 to 1.13)
Male,Bladder,IV,70-74,2,positive,rmst,27.5,0.98 (0.98 to 1.06),0.98,0.98 to 1.06,0.98,1.06,(0.98 to 1.06)
Male,Bladder,IV,75-79,1,negative,rmst,22.5,1.03 (0.93 to 1.32),1.03,0.93 to 1.32,0.93,1.32,(0.93 to 1.32)
Male,Bladder,IV,75-79,2,negative,rmst,22.5,1.02 (0.9 to 1.06),1.02,0.9 to 1.06,0.9,1.06,(0.9 to 1.06)
Male,Bladder,IV,75-79,2,positive,rmst,22.5,0.95 (0.89 to 1.04),0.95,0.89 to 1.04,0.89,1.04,(0.89 to 1.04)
Male,Bladder,Unknown/missing,50-54,1,negative,rmst,47.5,3.24 (2.7 to 7.91),3.24,2.7 to 7.91,2.7,7.91,(2.7 to 7.91)
Male,Bladder,Unknown/missing,50-54,2,negative,rmst,47.5,3.61 (2.82 to 4.28),3.61,2.82 to 4.28,2.82,4.28,(2.82 to 4.28)
Male,Bladder,Unknown/missing,50-54,2,positive,rmst,47.5,3.43 (3.21 to 3.75),3.43,3.21 to 3.75,3.21,3.75,(3.21 to 3.75)
Male,Bladder,Unknown/missing,55-59,1,negative,rmst,42.5,3.24 (2.86 to 3.54),3.24,2.86 to 3.54,2.86,3.54,(2.86 to 3.54)
Male,Bladder,Unknown/missing,55-59,2,negative,rmst,42.5,3.19 (2.96 to 4.61),3.19,2.96 to 4.61,2.96,4.61,(2.96 to 4.61)
Male,Bladder,Unknown/missing,55-59,2,positive,rmst,42.5,3.47 (2.89 to 4.05),3.47,2.89 to 4.05,2.89,4.05,(2.89 to 4.05)
Male,Bladder,Unknown/missing,60-64,1,negative,rmst,37.5,3.4 (3.08 to 7.49),3.4,3.08 to 7.49,3.08,7.49,(3.08 to 7.49)
Male,Bladder,Unknown/missing,60-64,2,negative,rmst,37.5,3.07 (3 to 3.2),3.07,3 to 3.2,3,3.2,(3 to 3.2)
